Date,WESA ad,WESA juv,WESA unk,LESA ad,LESA juv,LESA unk,UID W/L,Grand Total,notes,check
7/8/1990,0,0,0,12,0,0,65,77,,0
7/9/1990,0,0,0,0,0,0,212,212,,0
7/10/1990,0,0,0,0,0,0,145,145,,0
7/11/1990,4,0,0,13,0,0,15,32,,0
7/12/1990,0,0,0,0,0,0,147,147,,0
7/13/1990,0,0,76,0,0,5,0,81,,0
7/16/1990,0,0,7,0,0,0,1,8,,0
7/17/1990,0,0,22,0,0,10,2,34,,0
7/18/1990,0,0,142,0,0,28,0,170,,0
7/19/1990,0,0,122,0,0,0,0,122,,0
7/20/1990,0,0,4,0,0,0,0,4,,0
7/25/1990,0,0,0,0,0,0,490,490,,0
7/26/1990,0,0,0,0,0,0,427,427,,0
7/27/1990,0,0,0,0,0,0,200,200,,0
7/28/1990,0,0,0,0,0,0,120,120,,0
7/29/1990,0,0,0,0,0,2,0,2,,0
7/30/1990,0,0,0,0,0,28,34,62,,0
7/31/1990,0,0,86,0,0,22,0,108,,0
8/1/1990,0,0,61,0,0,8,0,69,,0
8/2/1990,0,0,78,0,0,43,0,121,,0
8/3/1990,0,0,74,0,0,31,0,105,,0
8/4/1990,0,0,0,0,0,0,170,170,,0
8/6/1990,0,0,98,0,0,65,0,163,,0
8/8/1990,0,0,600,0,0,150,0,750,,0
8/9/1990,0,0,600,0,0,10,0,610,,0
8/10/1990,0,0,128,0,0,4,0,132,,0
8/11/1990,0,0,81,0,0,13,0,94,,0
8/12/1990,0,0,84,0,0,46,0,130,,0
8/13/1990,0,0,295,0,0,23,0,318,,0
8/14/1990,0,0,543,0,0,68,0,611,,0
8/18/1990,0,0,319,0,0,0,0,319,,0
8/20/1990,0,0,715,0,0,0,0,715,,0
8/21/1990,0,0,0,0,0,0,1050,1050,,0
8/22/1990,0,0,0,0,0,0,1600,1600,,0
9/7/1990,0,0,182,0,0,0,0,182,,0
7/5/1992,0,0,0,0,0,0,500,500,,0
7/6/1992,273,0,0,31,0,0,68,372,,0
7/7/1992,270,0,0,8,0,0,170,448,,0
7/8/1992,0,0,0,0,0,0,350,350,,0
7/9/1992,0,0,0,0,0,0,312,312,,0
7/10/1992,120,0,0,10,0,0,0,130,,0
7/11/1992,130,0,0,20,0,0,0,150,,0
7/12/1992,125,0,0,11,0,0,0,136,,0
7/13/1992,85,0,0,15,0,0,0,100,,0
7/14/1992,0,0,0,17,0,0,0,17,,0
7/15/1992,6,0,0,25,0,0,0,31,,0
7/16/1992,32,0,0,43,0,0,0,75,,0
7/17/1992,15,0,0,22,0,0,0,37,,0
7/20/1992,31,0,0,20,0,0,11,62,,0
7/21/1992,55,0,0,3,0,0,210,268,,0
7/22/1992,326,0,0,45,0,0,0,371,,0
7/23/1992,0,0,207,0,0,45,0,252,,0
